Arquitetura,Otimizador,MAE,MSE,RMSE
model1,Adam,0.7719 ± 0.2631,7.3337 ± 12.9877,1.8633 ± 1.9652
model1,RMSprop,0.4590 ± 0.1539,4.0585 ± 7.6131,1.2778 ± 1.5574
model1,SGD,0.3973 ± 0.0549,1.2067 ± 1.9411,0.8386 ± 0.7095
model1,Adagrad,23.4123 ± 0.7222,554.4564 ± 32.1190,23.5369 ± 0.6875
model2,Adam,0.5356 ± 0.1084,2.9377 ± 4.9714,1.2448 ± 1.1783
model2,RMSprop,0.4713 ± 0.1029,4.1476 ± 7.6998,1.3196 ± 1.5512
model2,SGD,0.4140 ± 0.0669,1.4711 ± 2.4392,0.9031 ± 0.8096
model2,Adagrad,11.3584 ± 3.9989,172.1755 ± 90.3528,12.4604 ± 4.1127
model3,Adam,0.4914 ± 0.1511,5.0772 ± 9.5329,1.4244 ± 1.7459
model3,RMSprop,0.5860 ± 0.1056,2.3317 ± 3.6350,1.1871 ± 0.9605
model3,SGD,0.4513 ± 0.1523,0.5130 ± 0.3623,0.6735 ± 0.2436
model3,Adagrad,7.0055 ± 2.7402,110.6352 ± 95.5442,9.5781 ± 4.3468
